100, 10, 11688800, B
100, 10, 29600, G
100, 10, 275400, D
100, 11, 26366100, B
100, 11, 41500, G
100, 11, 288100, D
100, 12, 55713100, B
100, 12, 37000, G
100, 12, 331400, D
100, 13, 121559700, B
100, 13, 32600, G
100, 13, 330600, D
100, 14, 254558600, B
100, 14, 32700, G
100, 14, 410500, D
100, 15, 551531100, B
100, 15, 33700, G
100, 15, 381800, D
100, 16, 1136369400, B
100, 16, 36900, G
100, 16, 436400, D
100, 17, 2427481300, B
100, 17, 35000, G
100, 17, 443400, D
100, 18, 5247963600, B
100, 18, 38800, G
100, 18, 565500, D
110, 10, 12521400, B
110, 10, 29600, G
110, 10, 317800, D
110, 11, 27107600, B
110, 11, 37400, G
110, 11, 341000, D
110, 12, 59180800, B
110, 12, 34900, G
110, 12, 380900, D
110, 13, 127502000, B
110, 13, 34700, G
110, 13, 388900, D
110, 14, 274400600, B
110, 14, 39800, G
110, 14, 441500, D
110, 15, 570691700, B
110, 15, 38100, G
110, 15, 479100, D
110, 16, 1216080100, B
110, 16, 32500, G
110, 16, 495000, D
110, 17, 2565191300, B
110, 17, 37500, G
110, 17, 578900, D
110, 18, 5490295400, B
110, 18, 41200, G
110, 18, 565000, D
120, 10, 13501300, B
120, 10, 32300, G
120, 10, 385000, D
120, 11, 29345400, B
120, 11, 35000, G
120, 11, 401000, D
120, 12, 63421800, B
120, 12, 37600, G
120, 12, 445400, D
120, 13, 137283800, B
120, 13, 33700, G
120, 13, 489700, D
120, 14, 279631100, B
120, 14, 37300, G
120, 14, 485700, D
120, 15, 602335800, B
120, 15, 43100, G
120, 15, 544800, D
120, 16, 1254408800, B
120, 16, 44700, G
120, 16, 603500, D
120, 17, 2664939900, B
120, 17, 45000, G
120, 17, 602800, D
120, 18, 5651137600, B
120, 18, 44700, G
120, 18, 674800, D
130, 10, 14026700, B
130, 10, 35500, G
130, 10, 419100, D
130, 11, 31001700, B
130, 11, 39200, G
130, 11, 455900, D
130, 12, 61676600, B
130, 12, 41400, G
130, 12, 467300, D
130, 13, 134919800, B
130, 13, 37200, G
130, 13, 503800, D
130, 14, 290248900, B
130, 14, 40900, G
130, 14, 556000, D
130, 15, 606908500, B
130, 15, 46000, G
130, 15, 620500, D
130, 16, 1300039600, B
130, 16, 39800, G
130, 16, 562400, D
130, 17, 2704178100, B
130, 17, 49000, G
130, 17, 696500, D
130, 18, 5765849700, B
130, 18, 41900, G
130, 18, 652900, D
140, 10, 14290500, B
140, 10, 35200, G
140, 10, 423000, D
140, 11, 30188800, B
140, 11, 29400, G
140, 11, 405200, D
140, 12, 62478400, B
140, 12, 35100, G
140, 12, 493000, D
140, 13, 141186700, B
140, 13, 38400, G
140, 13, 563000, D
140, 14, 295276400, B
140, 14, 37400, G
140, 14, 567100, D
140, 15, 617929900, B
140, 15, 39500, G
140, 15, 624500, D
140, 16, 1320358900, B
140, 16, 40500, G
140, 16, 676300, D
140, 17, 2775286500, B
140, 17, 48500, G
140, 17, 801600, D
140, 18, 5827180900, B
140, 18, 44400, G
140, 18, 763000, D
150, 10, 14455900, B
150, 10, 38600, G
150, 10, 474600, D
150, 11, 31110900, B
150, 11, 40000, G
150, 11, 536800, D
150, 12, 64414000, B
150, 12, 38400, G
150, 12, 536900, D
150, 13, 142877900, B
150, 13, 41200, G
150, 13, 598200, D
150, 14, 295028500, B
150, 14, 46200, G
150, 14, 635100, D
150, 15, 624818900, B
150, 15, 40100, G
150, 15, 653600, D
150, 16, 1317806100, B
150, 16, 50100, G
150, 16, 781300, D
150, 17, 2747803400, B
150, 17, 43900, G
150, 17, 743800, D
150, 18, 5840238200, B
150, 18, 46100, G
150, 18, 823200, D
160, 10, 15614400, B
160, 10, 42100, G
160, 10, 544600, D
160, 11, 34282600, B
160, 11, 43300, G
160, 11, 595700, D
160, 12, 67440400, B
160, 12, 38200, G
